gate_id,gate_name,required,moodle_tool,automated_or_manual,evidence_created,failure_condition,qa_test,owner,launch_blocker
G001,CDPH provider/course approval metadata active,Yes,Admin-only approval metadata record plus certificate availability hold,Manual,"Approval record; NAC#; approved course list reference; approval date","Approval metadata missing expired or pending",Attempt certificate release with metadata pending,Compliance Lead,Yes
G002,Learner legal name present,Yes,Required user profile field,Automated with registrar review,User profile export,Legal name blank or placeholder,Remove legal name and attempt certificate,Registrar,Yes
G003,CNA certificate number present,Yes,Required user profile field,Automated with registrar review,User profile export,CNA number blank or invalid format per local validation,Remove CNA number and attempt certificate,Registrar,Yes
G004,Online cap acknowledgement complete,Yes,Quiz or Feedback acknowledgement,Automated,Timestamped acknowledgement export,Learner has not acknowledged 24-hour online cap,Skip acknowledgement and attempt next gate,Compliance Reviewer,Yes
G005,Required theory activities complete,Yes,Activity completion and course completion,Automated,Activity completion report,Any required theory activity incomplete,Skip one theory activity and attempt exam or certificate,Moodle Admin,Yes
G006,Active-time threshold met,Yes,Validated time plugin custom compliance hold or manual fallback,Automated if validated otherwise manual,Active-time report settings review record,Active time below threshold or report unavailable,Complete content without time threshold and attempt exam or certificate,Moodle Admin,Yes
G007,Required interactions complete,Yes,Lesson Quiz H5P Feedback completion,Automated,Attempt records and completion logs,Required interaction skipped or incomplete,Skip interaction and attempt final exam,Instructional Designer,Yes
G008,Final exam/test passed,Yes,Moodle Quiz grade-to-pass,Automated,"Quiz attempt; score; timestamp",Final exam failed not attempted or below approved threshold,Submit failing attempt and attempt certificate,RN Educator / QA,Yes
G009,Final signed statement/affidavit complete,Yes,Approved e-sign Assignment Feedback custom or wet-sign process,Manual or automated pending approval,"Signed statement record; timestamp; file if applicable",Affidavit missing or signature method not approved,Pass exam but skip affidavit,Registrar / Compliance,Yes
G010,Certificate fields populated,Yes,Certificate plugin template fields plus profile/course metadata,Automated with registrar QA,"Test certificate PDF; field map",Any required field blank incorrect or unapproved wording,Generate certificate with blank NAC/contact field,Registrar,Yes
G011,Admin hold clear,Yes,Restricted profile/course field or manual hold log,Manual,Hold and clearance log,Admin hold active for learner or course,Place learner on hold and attempt certificate,Compliance Lead,Yes
G012,Manual override absent or documented,Yes,Restricted override form/log,Manual,"Override log with approver reason date learner gate bypassed",Override attempted by unauthorized role or missing documentation,Unauthorized role attempts override,Compliance Lead / QA,Yes
G013,Optional clinical support completion,No,Optional Clinical Support Hub,N/A,Optional support records only,Misconfigured as certificate condition,Skip all clinical support and complete theory gates,QA Manager,Yes if misconfigured
