lane,category,course_unit_module,questions,minimum,meets_minimum
CNA,U01,"U01 - Vital Signs I: Purpose, Terminology, Temperature, Pain Observation",10,10,YES
CNA,U02,"U02 - Vital Signs II: Pulse, Respirations, Blood Pressure, Recording, Reporting",10,10,YES
CNA,U03,"U03 - Nutrition, Hydration, Diets, Feeding Assistance, Aspiration Awareness",10,10,YES
CNA,U04,"U04 - Emergency Procedures, Distress Recognition, Choking, Facility Codes",10,10,YES
CNA,U05,"U05 - Long Term Care Resident I: Aging, Body Systems, Common Conditions",10,10,YES
CNA,U06,"U06 - Long Term Care Resident II: Dementia-Sensitive Care, Psychosocial Needs",10,10,YES
CNA,U07,U07 - Rehabilitative Nursing and Restorative Care,10,10,YES
CNA,U08,"U08 - Observation and Charting I: Objective/Subjective, Terminology, Reporting",10,10,YES
CNA,U09,"U09 - Observation and Charting II: Charting Documents, Legal Documentation",10,10,YES
CNA,U10,"U10 - Death and Dying: Grief, Comfort, Hospice Awareness, Postmortem Boundaries",10,10,YES
CNA,U11,"U11 - Resident Abuse I: Rights, Abuse Types, Prevention, Risk Recognition",10,10,YES
CNA,U12,"U12 - Resident Abuse II: Mandated Reporting, Confidentiality, Documentation",10,10,YES
CNA,FINAL,FINAL - Comprehensive Final Assessment (U01-U12),50,50,YES
RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",15,15,YES
RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),15,15,YES
RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",15,15,YES
RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",15,15,YES
RCFE,RCFE-CETP-005,RCFE-CETP-005 - Medication Management in RCFE Operations (4h),15,15,YES
RCFE,RCFE-CETP-006,"RCFE-CETP-006 - Admission, Retention, Reappraisal, Needs and Services Plans (3h)",15,15,YES
RCFE,RCFE-CETP-007,RCFE-CETP-007 - Emergency Procedures and Physical Environment Controls (2h),15,15,YES
RCFE,RCFE-CETP-008,"RCFE-CETP-008 - Staff Supervision, Training Records, Administrator Accountability (2h)",15,15,YES
RCFE,RCFE-CETP-009,"RCFE-CETP-009 - Business Operations, Records, Claim-Safe Communications (2h)",15,15,YES
BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),12,12,YES
BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",12,12,YES
BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),12,12,YES
BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",12,12,YES
BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",12,12,YES
BRN,M06,"M06 - Transitions of Care, Discharge Planning, Community Resources (3 contact hours)",12,12,YES
BRN,M07,"M07 - Utilization Review, Medical Necessity, Payer-Safe Communication (3 contact hours)",12,12,YES
BRN,M08,"M08 - Quality Assurance, Risk Management, Incident Reporting, Escalation (3 contact hours)",12,12,YES
BRN,M09,"M09 - Chronic Disease, Geriatric, and High-Risk Patient Management (3 contact hours)",12,12,YES
BRN,M10,M10 - Integrated Case Management Capstone (3 contact hours),12,12,YES
BRN,CAPSTONE_FINAL,CAPSTONE_FINAL - Comprehensive Capstone Final Assessment,30,30,YES
